97,94,why1,83,7,Fri Jul 26 16:25:02 CST 2019
66,50,Tosaki,58,4,Sun Aug 18 16:25:02 CST 2019
91,42,Tosaki,79,19,Tue Aug 20 16:25:02 CST 2019
67,63,why2,58,2,Fri Jul 26 16:25:02 CST 2019
92,46,Tosaki,79,16,Sun Aug 18 16:25:02 CST 2019
68,49,why3,59,36,Tue Aug 20 16:25:02 CST 2019
93,93,Saitama,80,9,Wed Aug 21 16:25:02 CST 2019
98,13,why1,84,22,Thu Aug 15 16:25:02 CST 2019
88,46,Tosaki,78,15,Fri Aug 16 16:25:02 CST 2019
99,93,why3,85,4,Tue Aug 13 16:25:02 CST 2019
89,52,why1,78,13,Mon Aug 19 16:25:02 CST 2019
90,54,why2,78,39,Tue Aug 20 16:25:02 CST 2019
57,38,why2,51,11,Wed Jul 31 16:25:02 CST 2019
63,37,Saitama,56,16,Thu Aug 22 16:25:02 CST 2019
64,27,Tosaki,57,3,Wed Aug 07 16:25:02 CST 2019
65,36,why1,58,4,Mon Aug 19 16:25:02 CST 2019
100,14,why2,86,2,Sat Aug 24 16:25:02 CST 2019
94,26,why2,81,6,Sun Aug 04 16:25:02 CST 2019
58,54,Tosaki,51,33,Mon Aug 19 16:25:02 CST 2019
72,86,Tosaki,63,4,Fri Jul 26 16:25:02 CST 2019
95,46,why3,82,15,Fri Aug 16 16:25:02 CST 2019
59,52,why3,52,13,Mon Aug 19 16:25:02 CST 2019
73,83,why3,64,43,Fri Aug 16 16:25:02 CST 2019
96,54,why1,83,13,Mon Jul 29 16:25:02 CST 2019
60,62,Tosaki,53,20,Thu Aug 08 16:25:02 CST 2019
61,88,Saitama,54,27,Tue Aug 20 16:25:02 CST 2019
74,66,why1,65,11,Thu Aug 15 16:25:02 CST 2019
62,50,Saitama,55,47,Fri Aug 23 16:25:02 CST 2019
75,24,why3,66,7,Sun Aug 11 16:25:02 CST 2019
54,62,why2,48,20,Thu Aug 08 16:25:02 CST 2019
55,71,why3,49,21,Tue Aug 20 16:25:02 CST 2019
69,31,why1,60,9,Sun Aug 18 16:25:02 CST 2019
56,21,Tosaki,50,16,Sun Aug 11 16:25:02 CST 2019
70,54,why3,61,13,Mon Jul 29 16:25:02 CST 2019
71,89,why2,62,4,Fri Aug 23 16:25:02 CST 2019
51,95,why1,46,18,Fri Aug 23 16:25:02 CST 2019
52,21,why3,47,2,Sun Aug 18 16:25:02 CST 2019
53,71,why3,47,4,Wed Aug 14 16:25:02 CST 2019
79,50,why1,70,6,Wed Aug 21 16:25:02 CST 2019
80,15,Saitama,71,49,Thu Aug 22 16:25:02 CST 2019
85,90,why3,76,4,Wed Aug 21 16:25:02 CST 2019
81,50,Tosaki,72,4,Sun Aug 18 16:25:02 CST 2019
86,17,Tosaki,77,25,Tue Aug 13 16:25:02 CST 2019
76,50,why2,67,6,Wed Aug 21 16:25:02 CST 2019
87,65,why3,77,11,Thu Aug 15 16:25:02 CST 2019
77,64,why2,68,15,Sat Aug 17 16:25:02 CST 2019
78,35,why3,69,2,Sun Aug 18 16:25:02 CST 2019
16,37,why2,15,16,Thu Aug 22 16:25:02 CST 2019
17,27,why2,16,14,Wed Aug 21 16:25:02 CST 2019
18,57,Tosaki,17,10,Fri Jul 26 16:25:02 CST 2019
22,21,why2,20,2,Sun Aug 18 16:25:02 CST 2019
23,67,why3,20,11,Thu Aug 15 16:25:02 CST 2019
7,90,why2,7,4,Wed Aug 21 16:25:02 CST 2019
13,96,why3,12,29,Sun Aug 18 16:25:02 CST 2019
24,28,why2,21,18,Sat Aug 24 16:25:02 CST 2019
8,24,why1,8,7,Sun Aug 11 16:25:02 CST 2019
14,41,why3,13,5,Fri Jul 26 16:25:02 CST 2019
25,27,Tosaki,22,25,Wed Aug 21 16:25:02 CST 2019
