1,饮料类,0卡路里富士苹果梨水饮料,1,10
2,小吃类,苹果梨果实派,1,10
3,罐装食品类,100卡路里糖浆梨,1,10
4,储藏室类,100%自然脆花生黄油,1,10
5,饮料类,100%纯度苹果汁,1,10
6,饮料类,100%苹果桃子芒果汁,1,10
7,饮料类,100%橙色草莓香蕉汁,1,10
8,其他类类,100%纯度桉树油,1,10
9,家居类,100%纯度橘油,1,10
10,冷冻类,100%白葡萄汁,1,10
11,个人护理类,玫瑰提取天籁晚霜,1,10
12,家居类,12盎司塑料碗,1,10
13,家居类,16盎司白色塑料制眼镜,1,10
14,乳蛋类,2%低脂奶酪,1,10
15,乳蛋类,2%低脂奶酪,1,10
16,个人护理类,二合一海洋电荷洗发水,1,10
17,个人护理类,2别致的鳄梨橄榄油洗发水旅行装,1,10
18,罐装食品类,3豆色拉,1,10
19,家居类,30加仑快系户外垃圾袋,1,10
20,婴幼儿类,鸡肉面条,1,10
21,冷冻类,5奶酪大蒜面包,1,10
22,小吃类,70%树莓黑巧克力糖果,1,10
23,乳蛋类,奥芝·多菲诺·哈瓦蒂之光,1,10
24,肉品海鲜类,15%瘦85%肥土耳其肉(013021),1,10
25,家居类,8只装网状过滤器,1,10
26,个人护理类,降酸奥美拉唑片,1,10
27,小吃类,活性绿色食物棒,1,10
28,个人护理类,青少年用活性护理药品,1,10
29,个人护理类,缓解眼部疲劳眼药水,1,10
30,个人护理类,各式大小胶布绷带,1,10
31,个人护理类,成人式多用胶粘维生素,1,10
32,宠物类,健康猫粮,1,10
33,婴幼儿类,推进式奶粉,1,10
34,冷冻类,空气头冰欺凌,1,10
35,酒类,啤酒,1,10
36,杂货类,黑色纯源咖啡,1,10
37,冷冻类,全天然松脆海盐洋葱圈,1,10
38,个人护理类,100%自然栀子花手乳液,1,10
39,储藏室类,全天然无麸质万能烘焙混合料,1,10
40,熟食类,全天然蒜蓉鹰嘴豆泥,1,10
41,家居类,万能葡萄柚种子清洁剂,1,10
42,家居类,万能抗菌清洁剂,1,10
43,储藏室类,天然海盐,1,10
44,早餐类,原始糠麸谷物,1,10
45,婴幼儿类,幼儿用无味肥皂棒,1,10
46,个人护理类,过敏救援药品,1,10
47,个人护理类,30加仑洋葱液,1,10
48,储藏室类,光滑杏仁奶油,1,10
49,个人护理类,芙蓉杏仁奶油沐浴露,1,10
50,冷冻类,杏仁味雪糕,1,10
51,小吃类,杏仁黑巧克力块,1,10
52,小吃类,海盐杏仁黑巧克力,1,10
53,饮料类,维生素C芦荟汁,1,10
54,个人护理类,芦荟缎肥皂,1,10
55,乳蛋类,12只装美国奶酪片,1,10
56,干活面团类,美国嘉明思大米,1,10
57,肉品海鲜类,辣熏猪肉香肠,1,10
58,酒类,龙舌兰酒,1,10
59,肉品海鲜类,安格斯烤牛肉,1,10
60,小吃类,饼干,1,10
61,个人护理类,抗污个人清洁剂,1,10
62,个人护理类,清新凝胶止汗除臭剂,1,10
63,个人护理类,抗菌喷剂,1,10
64,饮料类,抗氧化剂克莱门汀饮料,1,10
65,酒类,苹果酒,1,10
66,烘培类,苹果心能量棒,1,10
67,饮料类,苹果猕猴桃草莓汁,1,10
