1,饮料类,1,10
2,小吃类,1,10
3,罐装食品类,1,10
4,储藏室类,1,10
5,饮料类,1,10
6,饮料类,1,10
7,饮料类,1,10
8,其他类,1,10
9,家居类,1,10
10,冷冻类,1,10
11,个人护理类,1,10
12,家居类,1,10
13,家居类,1,10
14,乳蛋类,1,10
15,乳蛋类,1,10
16,个人护理类,1,10
17,个人护理类,1,10
18,罐装食品类,1,10
19,家居类,1,10
20,婴幼儿类,1,10
21,冷冻类,1,10
22,小吃类,1,10
23,乳蛋类,1,10
24,肉品海鲜类,1,10
25,家居类,1,10
26,个人护理类,1,10
27,小吃类,1,10
28,个人护理类,1,10
29,个人护理类,1,10
30,个人护理类,1,10
31,个人护理类,1,10
32,宠物类,1,10
33,婴幼儿类,1,10
34,冷冻类,1,10
35,酒类,1,10
36,杂货类,1,10
37,冷冻类,1,10
38,个人护理类,1,10
39,储藏室类,1,10
40,熟食类,1,10
41,家居类,1,10
42,家居类,1,10
43,储藏室类,1,10
44,早餐类,1,10
45,婴幼儿类,1,10
46,个人护理类,1,10
47,个人护理类,1,10
48,储藏室类,1,10
49,个人护理类,1,10
50,冷冻类,1,10
51,小吃类,1,10
52,小吃类,1,10
53,饮料类,1,10
54,个人护理类,1,10
55,乳蛋类,1,10
56,干货面团类,1,10
57,肉品海鲜类,1,10
58,酒类,1,10
59,肉品海鲜类,1,10
60,小吃类,1,10
61,个人护理类,1,10
62,个人护理类,1,10
63,个人护理类,1,10
64,饮料类,1,10
65,酒类,1,10
66,烘焙类,1,10
67,饮料类,1,10
68,婴幼儿类,1,10
69,饮料类,1,10
70,家居类,1,10
71,个人护理类,1,10
72,其他类,1,10
73,干货面团类,1,10
74,罐装食品类,1,10
75,乳蛋类,1,10
76,烘焙类,1,10
77,农产品类,1,10
78,罐装食品类,1,10
79,小吃类,1,10
80,个人护理类,1,10
81,其他类,1,10
82,杂货类,1,10
83,冷冻类,1,10
84,乳蛋类,1,10
85,肉品海鲜类,1,10
86,农产品类,1,10
87,小吃类,1,10
88,小吃类,1,10
89,烘焙类,1,10
90,储藏室类,1,10
91,国际类,1,10
92,婴幼儿类,1,10
93,烘焙类,1,10
94,婴幼儿类,1,10
95,饮料类,1,10
96,冷冻类,1,10
97,个人护理类,1,10
98,冷冻类,1,10
99,肉品海鲜类,1,10
100,小吃类,1,10
101,肉品海鲜类,1,10
102,酒类,1,10
103,小吃类,1,10
104,饮料类,1,10
105,早餐类,1,10
106,储藏室类,1,10
107,罐装食品类,1,10
108,干货面团类,1,10
109,农产品类,1,10
110,个人护理类,1,10
111,冷冻类,1,10
112,乳蛋类,1,10
113,国际类,1,10
114,个人护理类,1,10
115,饮料类,1,10
116,饮料类,1,10
117,早餐类,1,10
118,冷冻类,1,10
119,其他类,1,10
120,罐装食品类,1,10
121,罐装食品类,1,10
122,酒类,1,10
123,烘焙类,1,10
124,储藏室类,1,10
125,家居类,1,10
126,冷冻类,1,10
127,冷冻类,1,10
128,烘焙类,1,10
129,小吃类,1,10
130,干货面团类,1,10
131,杂货类,1,10
132,农产品类,1,10
133,冷冻类,1,10
134,冷冻类,1,10
135,小吃类,1,10
136,小吃类,1,10
137,酒类,1,10
138,小吃类,1,10
139,个人护理类,1,10
140,冷冻类,1,10
141,储藏室类,1,10
142,熟食类,1,10
143,个人护理类,1,10
144,酒类,1,10
145,乳蛋类,1,10
146,宠物类,1,10
147,小吃类,1,10
148,小吃类,1,10
149,杂货类,1,10
150,饮料类,1,10
151,杂货类,1,10
152,干货面团类,1,10
153,小吃类,1,10
154,家居类,1,10
155,肉品海鲜类,1,10
156,冷冻类,1,10
157,干货面团类,1,10
158,冷冻类,1,10
159,饮料类,1,10
160,饮料类,1,10
161,酒类,1,10
162,杂货类,1,10
163,饮料类,1,10
164,干货面团类,1,10
165,熟食类,1,10
166,宠物类,1,10
167,肉品海鲜类,1,10
168,冷冻类,1,10
169,个人护理类,1,10
170,杂货类,1,10
171,国际类,1,10
172,罐装食品类,1,10
173,个人护理类,1,10
174,冷冻类,1,10
175,乳蛋类,1,10
176,乳蛋类,1,10
177,冷冻类,1,10
178,小吃类,1,10
179,冷冻类,1,10
180,小吃类,1,10
181,宠物类,1,10
182,熟食类,1,10
183,罐装食品类,1,10
184,干货面团类,1,10
185,家居类,1,10
186,个人护理类,1,10
187,家居类,1,10
188,小吃类,1,10
189,熟食类,1,10
190,宠物类,1,10
191,冷冻类,1,10
192,家居类,1,10
193,家居类,1,10
194,个人护理类,1,10
195,家居类,1,10
196,饮料类,1,10
197,熟食类,1,10
198,早餐类,1,10
199,个人护理类,1,10
200,早餐类,1,10
201,小吃类,1,10
202,烘焙类,1,10
203,乳蛋类,1,10
204,国际类,1,10
205,冷冻类,1,10
206,冷冻类,1,10
207,酒类,1,10
208,饮料类,1,10
209,饮料类,1,10
210,储藏室类,1,10
211,个人护理类,1,10
212,冷冻类,1,10
213,个人护理类,1,10
214,冷冻类,1,10
215,其他类,1,10
216,干货面团类,1,10
217,个人护理类,1,10
218,宠物类,1,10
219,小吃类,1,10
220,小吃类,1,10
221,个人护理类,1,10
222,个人护理类,1,10
223,个人护理类,1,10
224,小吃类,1,10
225,个人护理类,1,10
226,个人护理类,1,10
227,罐装食品类,1,10
228,早餐类,1,10
229,罐装食品类,1,10
230,干货面团类,1,10
231,储藏室类,1,10
232,冷冻类,1,10
233,乳蛋类,1,10
234,婴幼儿类,1,10
235,婴幼儿类,1,10
236,储藏室类,1,10
237,国际类,1,10
238,罐装食品类,1,10
239,乳蛋类,1,10
240,乳蛋类,1,10
241,乳蛋类,1,10
242,杂货类,1,10
243,乳蛋类,1,10
244,小吃类,1,10
245,冷冻类,1,10
246,干货面团类,1,10
247,家居类,1,10
248,小吃类,1,10
249,其他类,1,10
250,罐装食品类,1,10
251,罐装食品类,1,10
252,饮料类,1,10
253,个人护理类,1,10
254,早餐类,1,10
255,家居类,1,10
256,家居类,1,10
257,烘焙类,1,10
258,个人护理类,1,10
259,家居类,1,10
260,小吃类,1,10
261,杂货类,1,10
262,乳蛋类,1,10
263,个人护理类,1,10
264,小吃类,1,10
265,个人护理类,1,10
266,个人护理类,1,10
267,家居类,1,10
268,饮料类,1,10
269,冷冻类,1,10
270,冷冻类,1,10
271,冷冻类,1,10
272,干货面团类,1,10
273,饮料类,1,10
274,干货面团类,1,10
275,酒类,1,10
276,乳蛋类,1,10
277,饮料类,1,10
278,饮料类,1,10
279,个人护理类,1,10
280,个人护理类,1,10
281,家居类,1,10
282,烘焙类,1,10
283,个人护理类,1,10
284,小吃类,1,10
285,储藏室类,1,10
286,储藏室类,1,10
287,个人护理类,1,10
288,个人护理类,1,10
289,个人护理类,1,10
290,冷冻类,1,10
291,婴幼儿类,1,10
292,个人护理类,1,10
293,饮料类,1,10
294,熟食类,1,10
295,熟食类,1,10
296,宠物类,1,10
297,熟食类,1,10
298,乳蛋类,1,10
299,家居类,1,10
300,家居类,1,10
301,个人护理类,1,10
302,冷冻类,1,10
303,储藏室类,1,10
304,冷冻类,1,10
305,冷冻类,1,10
306,早餐类,1,10
307,烘焙类,1,10
308,个人护理类,1,10
309,储藏室类,1,10
310,烘焙类,1,10
311,个人护理类,1,10
312,个人护理类,1,10
313,个人护理类,1,10
314,个人护理类,1,10
315,个人护理类,1,10
316,家居类,1,10
317,农产品类,1,10
318,罐装食品类,1,10
319,农产品类,1,10
320,熟食类,1,10
321,熟食类,1,10
322,宠物类,1,10
323,早餐类,1,10
324,冷冻类,1,10
325,杂货类,1,10
326,个人护理类,1,10
327,小吃类,1,10
328,小吃类,1,10
329,饮料类,1,10
330,家居类,1,10
331,冷冻类,1,10
332,干货面团类,1,10
333,个人护理类,1,10
334,酒类,1,10
335,农产品类,1,10
336,饮料类,1,10
337,冷冻类,1,10
338,国际类,1,10
339,个人护理类,1,10
340,个人护理类,1,10
341,储藏室类,1,10
342,储藏室类,1,10
343,小吃类,1,10
344,储藏室类,1,10
